Порода;Рост;Описание;Агрессивность;Активность;Дрессировка;Линька;Дружелюбность;Отношение к одиночеству;Интеллект;Шум;Охранные качества;Размер
Австралийская овчарка (аусси);58 см;"Жизнерадостная, ласковая, сообразительная и подвижная – именно так можно описать любую австралийскую овчарку. Кстати, это одна из немногих пород, представители которой в хорошем настроении умеют «улыбаться» во все 42 зуба и вилять при этом задом. По своей натуре это прирождённые пастухи, которые призваны следить за стадом и вовремя возвращать отбившихся животных. Эту черту можно заметить и при прогулках с питомцем: он постоянно будет следить, чтобы никто не отстал от компании, и собирать всех вместе. Несмотря на постоянное желание выполнять команды хозяина, собака в экстренной ситуации может принимать самостоятельные решения.
Аусси очень дружелюбные и легко находят общий язык как со своими сородичами во время прогулок, так и с остальными домашними животными – будь то кошка или хомяк, корова или домашний гусь. Создаётся впечатление, что слова из известной песенки: «Он не лает, не кусается, на прохожих не бросается» – написаны об аусси. Собака прекрасно ведёт себя на выставках среди лающей братии, на улице и дома. Австралийская овчарка никогда не задирается первой, но в случае недружелюбного поведения сородичей, а также при угрозе хозяину или членам семьи, всегда сможет дать достойный отпор. Для этого у животного есть всё: и развитая мускулатура, и крепкие зубы.
Аусси просто обожает детей и станет им неутомимым компаньоном для подвижных игр. Собака будет с удовольствием сопровождать хозяина во время пробежки или велосипедной прогулки, примет активное участие в различных соревнованиях или туристических походах. Для представителей этой породы невыносимо сидеть целыми днями в замкнутом пространстве. Двигательная активность им просто необходима для поддержания мышечной массы, хорошего самочувствия и настроения.
Будучи от природы прирождёнными охранниками, аусси могут при неправильном воспитании иногда проявлять излишнюю агрессию при защите своей территории. Этому моменту нужно уделить особое внимание. Поскольку по своей натуре австралийские овчарки очень дружелюбны, агрессия, равно как и трусость, относится к поведенческим отклонениям.
С самых первых дней появления щенка в доме необходимо объяснить ему элементарные правила поведения и выделить территорию, что поможет малышу быстрее адаптироваться к новому месту. Важно, чтобы собака знала, кто её хозяин. В противном случае животное будет стремиться занять в доме главенствующее положение.
Австралийская овчарка – очень умная и талантливая, легко обучаемая и поддающаяся дрессировке. Считается, что она способна выполнять команды через 30-40 повторений. Начинать, конечно же, стоит в домашних условиях с первых дней появления щенка, разучивая простые команды, которые обеспечат его безопасность во время прогулок: «Фу!», «Рядом!», «Ко мне!». Мотивация питомца – важный момент в дрессуре, поэтому всегда поощряйте малыша в случае правильного выполнения команд. Аусси – лакомки, так что не придётся долго думать о том, как лучше это сделать.
После того как выполнение элементарных команд отработано в домашних условиях, следует переходить к занятиям на улице с целью изучения новых и закрепления приобретённых навыков при отвлекающих факторах. Следует помнить, что перед началом тренировок рекомендуется дать собаке немного прогуляться и сделать все свои «дела», чтобы впоследствии ничего не отвлекало животное. Поощрительно-мотивационный подход должен стать основополагающим методом в разучивании команд. Нельзя проявлять грубость к питомцу или наказывать его: это может сделать собаку робкой и пугливой. Помощь инструктора-кинолога позволяет быстрее закрепить курс общей дрессировки. Зачастую австралийской овчарке хватает нескольких занятий.";3;4;4;4;4;2;5;4;4;Средняя
Австралийская пастушья собака;Не указано;"Верный защитник, профессиональный пастух и преданный исполнитель – примерно так можно охарактеризовать австралийских кеттл догов. Созданные быть «правой рукой» фермера, эти «хвосты» сохранили за собой определенную долю независимости, которой иногда охотно пользуются. При этом проблем с послушанием у «австралийцев» нет.
Вне рабочей деятельности животные вполне милы, добродушны и коммуникабельны. Еще одна особенность крапчатых пастухов – способность считывать эмоции хозяина. В комплекте с настороженным отношением к посторонним это может стать проблемой. Например, в конфликтной ситуации собака встает на защиту хозяина, не дожидаясь команды к действию.
К детям у голубых хилеров позитивно-расслабленное отношение. С одной стороны, это неплохая компания для игр и веселья, с другой – существа на голову ниже, которым не стоит позволять лишнего. Отсюда – покусывание малышей за пятки и прочие побочные эффекты дружбы с рабочей породой.
К сведению: австралийские кеттл доги кусаются не только во время перегона скота и игр с детьми. Собака охотно «пробует» зубы и в критических ситуациях. Например, в ответ на грубое обращение и применение физической силы.
Австралийские пастушьи собаки не относятся к категории болтливых питомцев: работает и тренируется животное молча, полностью сосредоточившись на процессе. Услышать голос подопечного можно только в случаях, когда он сильно заскучал или перенервничал. Собственно, по этой причине содержание австралийских хилеров не подходит занятым владельцам – порода была создана в помощь человеку, а не для ожидания его возвращения откуда бы то ни было.
У представителей породы устанавливается тесная эмоциональная связь с человеком, которого они считают главным в семье. Эта особенность очень помогает в процессе дрессировки. В Европе австралийские пастушьи собаки не перегоняют овечьи отары. Однако это не означает, что они не должны работать и обучаться, ведь незанятый хилер – разрушительный хилер.
Все «австралийцы» – интеллектуальные, ловкие и хорошо управляемые существа, так что если в будущем питомца не маячит сдача пастушьего теста, его можно «перепрофилировать» в спортсмена. По наблюдениям, кеттл догам хорошо даются такие дисциплины, как обидиенс, каникросс, ски- и байкджоринг. Успешно представители породы проходят и испытания по шутцхунду. Отдельные особи способны справиться с функцией собаки-поводыря или поисковика, натасканного на обнаружение наркотических веществ и взрывчатки.
Специальных методик обучения для австралийской пастушьей собаки изобретать не надо. Бувье – благодарный ученик, вполне способный усвоить стандартную учебную программу. Начинать полагается с социализации щенка, его привыкания к собственной кличке, режиму дня и запретам. Затем наступает время базовых команд, список которых полагается постепенно увеличивать.
Несмотря на то что кеттл доги терпеливее многих своих собратьев, затягивать уроки не стоит. Смышленым «австралийцам» достаточно 10-15 минут, чтобы ухватить всю суть занятия и повторить то, что от них требуется.
Кричать на породу за промахи, а тем более применять физическую силу к ее представителям нельзя – вспоминаем про любовь хилера к «кусалкам». Но иногда провинившийся «хвост» нуждается в ограничении. Таковым может стать игнорирование со стороны хозяина. Австралийские пастушьи собаки обожают чувствовать свою связь с лидером и очень переживают, если эту невидимую нить оборвать. Впрочем, заигрываться не стоит. Слишком частые отлучения пса от хозяина ни к чему хорошему не приведут, кроме развития в питомце недоверчивости и равнодушия.";2;4;5;4;4;2;5;2;4;Не указано
Азавак;74 ± 2 см;"Африканские борзые – настоящие кочевники не только внешне, но и в душе. Они гордые, самодостаточные, ценящие уважительное к себе отношение и легко «вычисляющие» человеческие слабости. С хозяином, с которым удалось удержаться «на одной волне», собака ведет себя ласково, если не сказать трепетно. Правда, такие привилегии доступны лишь владельцам, способным убедить азавака в том, что статус альфы в доме уже давно и прочно занят. Тем не менее, даже у обожаемого хозяина питомец временами будет держаться отстраненно и флегматично. Причина – унаследованное от диких предков стремление к полной сепарации от человека.
Все азаваки обладают нетипичной для борзых чертой – они не расположены к чужакам и относятся к ним с большой долей недоверия. Нет, они не настроены враждебно и не бросаются на каждого, кто приоткрыл дверь в дом. Но и на контакт с незнакомцем добровольно не отважатся. В сочетании с развитым территориальным инстинктом такая особенность превращает представителей породы в отличных сторожей, мимо которых не прошмыгнет ни один злоумышленник.
А вот навесить собаке роль няньки точно не выйдет. Африканские борзые абсолютно равнодушны к детям и предпочитают их просто не замечать. В ситуациях, когда имеет место явное приставание к животному со стороны малышни, азавак предпочтет устраниться, но ни в коем случае не подчиняться. По этой же причине не стоит перепоручать выгул питомца детям. Несмотря на конституцию «на грани анорексии», борзые туарегов – собаки невероятной силы. Скорее всего, юный «держатель поводка» просто прокатится животом по дороге и всем окрестным лужам вслед за мчащимся на всех парах азаваком.
С себе подобными «хвостами» борзая уживается легко, но на ее же собственных условиях. Проще говоря, всех несогласных и бунтующих собака быстро угомонит. Замечена за животными и некоторая избирательность в отношениях. Так, два азавака – это вполне мирные и дружные компаньоны. А вот с представителями других, не склонных к подчинению пород отношения могут не сложиться.
Домашняя птица, а также мелкий и крупный с/х скот для питомцев туарегов – табу. Так что можете спокойно выпускать собаку во двор, когда в нем прогуливаются утки или овцы. Чуть сложнее обстоит дело с кошками. К ним африканскую борзую придется приучать со щенячьего возраста. Кстати, если азавак не трогает вашего кота, это не значит, что он готов держать себя в лапах при виде уличных мурлык. Так что на прогулке не теряйте бдительности и крепче держите поводок, когда находитесь в местах возможного появления пушистых провокаторов.
Охотничья «квалификация» азавака – работа по зайцу и газели. Борзая может долго гнать добычу по экстремальной жаре без негативных последствий для организма. На защиту животного от перегрева работает все тело – тонкая кожа и короткая шерсть, практически полное отсутствие жировой прослойки, косое расположение мышц, увеличивающих площадь охлаждающей поверхности.";2;4;3;2;4;3;4;2;2;Крупная
Акита-ину;70 см;"Японский вариант называется акита-ину – это собаки среднего и крупного размера с плотным, одновременно изящным телосложением. Голова с небольшими ушами напоминает лисью. Признается только несколько вариантов окраски. Шерсть обязательно должна быть короткой, на морде – белая маска.
Вариант из США имеет название большая японская собака или американская акита. Это исключительно крупные собаки с тяжелой медведеподобной головой. Признают практически любые варианты масти, в том числе, черную или с темной маской.
Акита-ину хорошо себя чувствует в умеренном или холодном климате. Среди характерных особенностей:
Взрослый кобель имеет рост 66-71 см в холке, вес от 45 до 59 кг. Суки обладают ростом 61-66 см, весом от 32 до 45 кг, при этом длина тела у них немного больше, чем у кобелей. Японский вариант породы чуть легче и мельче. Восьминедельные щенки обычно имеют такие параметры:
Рост собак медленный, окончательно развитие животного заканчивается только к 3 годам. Щенки довольно активно набирают вес (до 7 кг в месяц), после достижения 35-49 кг их развитие сильно замедляется, но не завершается до трехгодовалого возраста. Не волнуйтесь, если ваш питомец не совсем вписывается в существующие таблицы роста, ведь это очень общие сведения. В целом динамика такая:
Классическим стандартом является плотная короткая шерсть (около 5 см), которая имеет несколько большую длину на шее и хвосте. Покров стоячий, из грубых остевых и игольчатых волос, подшерсток очень густой, пухообразный. Акита-ину может иметь только такую масть:
Американская акита бывает любого цвета. Длинношерстные собаки рождаются нередко – это следствие сочетания рецессивных генов отца и матери. По характеру они такие же, но не вписываются в стандарт, потому считаются выбраковкой.
У щенков уши опущены, а у взрослых собак – стоячие, обращены вперед и немного в стороны. Они принимают такое положение не сразу, и на это влияют два фактора:
Часто бывает, что они опускаются обратно или стоячим оказывается только одно ухо. Этот процесс занимает от 10 недель до 6 месяцев, потому беспокоиться до полугода не стоит – положение ушек уровняется.
Глаза карие (желательно как можно темнее), небольшие, посажены глубоко. Они обладают треугольной «восточной» формой, которая заметна от рождения. У собак светлой масти допускается черная «подводка», которая только подчеркивает особый разрез.
У породистых собак он пушистый, толстый, свернут в плотное колечко. Малыши имеют прямой хвост, который скручивается за первые 2 месяца жизни. Если собака спит или просто расслаблена, он может слегка раскручиваться, но прямым не становится никогда. Визуально и на ощупь эта часть тела не меняется даже в период линьки. Пушистый хвост «бубликом» как бы уравновешивает крупную голову питомца.
Описание лап мало отличается для разных стандартов: прямые, сводчатые, с толстыми подушечками, похожи на кошачьи. У обеих разновидностей акиты пальцы плотно сомкнуты, что дает им возможность хорошо плавать. При этом оказываются задействованы не только передние, но и задние конечности. Однако большинство собак этой породы не любит купаться, заходя в воду только в случае крайней необходимости.
Продолжительность жизни акиты-ину составляет примерно 10-12 лет. Самки живут немного дольше самцов, но статистически разница небольшая – всего около 2 месяцев. Этот показатель одинаковый для обеих разновидностей собак. До Второй мировой войны длительность жизни была значительно больше – 14-15 лет, но бомбардировка Хиросимы и Нагасаки навсегда оставила свой отпечаток на генетике.";4;5;2;4;3;3;3;2;5;Крупная
Алабай (Среднеазиатская овчарка);70 см;"Тип высшей нервной деятельности алабая можно отнести к уравновешенно-спокойному. Сбалансированность психических процессов проявляется в следующих поведенческих реакциях: псы спокойны и не подвержены суетливости. По сравнению с кобелями психика сук более динамична.
Характер алабая выдержанный, гордый и независимый. Собаку отличает уверенность в себе и даже некоторая загадочность. По отношению к посторонним животное ведет себя недоверчиво и настороженно, в то же время проявляя удивительную чуткость к настроению хозяина. Образ жизни предков не наложил отпечатка простоты и грубости на поведение алабая, этой собаке скорее свойственно серьезное отношение к жизни с налетом легкого высокомерия.
Среднеазиатская овчарка склонна к быстрой социальной адаптации и легко найдет свое место в семье человека. Отношение алабаев к другим членам «стаи» можно охарактеризовать как миролюбивое. Также спокойно они реагируют на домашних животных, живущих с ними под одной крышей. Очень хорошо относятся азиаты к детям, причем разница «свой-чужой» в этом случае не принимается собакой во внимание.
Настоящая среднеазиатская овчарка будет сдержанно проявлять свое недоверие к постороннему человеку – волю своим охранным инстинктам она даст лишь в случае явной провокации со стороны чужака. Активная оборонительная реакция алабая имеет свои особенности. Он будет очень ревностно охранять территорию, проявляя агрессивность только в случае нарушения установленной им границы. На «нейтральной полосе» пес будет реагировать на других животных или посторонних людей скорее с высокомерным безразличием.
Алабаи обычно спокойно ведут себя во время прогулок, не размениваясь на мелочи и не реагируя на заливисто лающих «мосек», хотя крепкий поводок при выгуле собаки в людных местах все же необходим.
Половые различия проявляются не только во внешнем виде собак, но и в их поведении. Кобель атакует чужака при попытке нарушить границу безо всякого предупреждения, сука нападает в крайнем случае, пытаясь решить проблему предупредительным лаем и преграждением дороги.
Интересен тот факт, что кочевники Средней Азии сразу отбраковывали и отстреливали собак, проявивших неоправданную агрессию к человеку, поэтому, если, покупая алабая, вы хотите завести злую собаку, то вы на неверном пути. Злость как черта характера у истинного азиата отсутствует на генетическом уровне. Калечить психику этого великолепного пса, пытаясь взрастить из него злобного монстра, – просто преступление.
Если вы хотите иметь в доме надежного охранника и неизбалованного друга, то алабай – лучший выбор!
Владельцы среднеазиатских овчарок должны ясно понимать, что дрессировка и правильное воспитание такому сильному животному, к тому же проявляющему ярко выраженные защитные реакции, необходимы по определению.
Еще один важный принцип – систематичность дрессировок. Они должны проводиться ежедневно и продолжаться не менее 20-30 минут. Очень хорошо, если процесс проходит с участием всех членов семьи хозяина. К семимесячному возрасту ваш питомец должен выполнять основные простейшие команды: «Ко мне!», «Сидеть!», «Место!», «Фу!» и так далее.
Следует запомнить, что алабай достаточно своенравен и вряд ли станет сразу вам повиноваться. Добиться результата можно, только проявив изрядное терпение и найдя способы заинтересовать вашего азиата в процессе обучения.
Не забывайте поощрять большого друга за правильное выполнение команды, да и просто за хорошее поведение. Лакомый кусочек, дружеское поглаживание по загривку, ласковое доброе слово станут для вашего любимца хорошим стимулом. Следует с пониманием и терпением относиться к таким чертам характера алабая, как желание самостоятельно познать окружающий мир, любопытство, чрезмерная настойчивость в достижении цели (которая зачастую известна только ему одному).
Азиат в процессе взросления очень сильно привязывается к своей «стае» и к месту проживания, что характерно для собак сторожевого типа. Следует внимательно контролировать поведение овчарки по отношению к посторонним людям. В общении же со «своими» тоже не стоит допускать особой фамильярности. Пресекайте попытки вашей собаки прыгать лапами на домочадцев. Пока алабай – щенок, это еще выглядит забавно, а вот устоять на ногах, когда свои чувства таким образом начнет проявлять взрослый пес – уже проблематично.
Что касается половых различий применительно к процессу дрессировки, то кобели обучаются намного проще. Девочки гораздо тоньше и хитрее, у них в арсенале значительно больше уловок, чтобы не слушаться «воспитателя».
От качества дрессировки щенка алабая зависит очень многое, поэтому доверять этот ответственный процесс можно только профессионалам. Лишь грамотному специалисту под силу сделать неуклюжего плюшевого щенка настоящей сторожевой собакой, реализовав главное предназначение среднеазиатской овчарки.";4;4;3;3;4;3;4;4;5;Крупная
Аляскинский кли-кай;38 – 43 см;"Характер – одна из главных особенностей, которая наряду с размерами отличает аляскинского кли-кая от хаски. Темперамент этой миниатюрной копии совсем не такой, как у её прародителей – ездовых собак. Если хаски отличаются рассудительностью, вальяжностью движений, своенравием, а иногда и упёртостью, то аляскинские кли-каи – маленькие весельчаки, которые предпочитают активные игры и любят порезвиться во время прогулок.
Компанейские и жизнерадостные собаки плохо переносят одиночество. Из этого следует закономерный вывод: аляскинские кли-каи не подойдут тем людям, которые подолгу отсутствуют дома. Оставите мини-хаски на весь день без внимания – и от скуки животное выплеснет свою энергию на вещи и предметы обихода. Приготовьтесь столкнуться с такими последствиями одиночества кли-кая, как погрызанная мебель или, например, разорванные туфли.
Запомните: если ваше отсутствие всё же неизбежно, обеспечьте питомца игрушками. Он переключит своё внимание с предметов интерьера на более безобидные мячи и «косточки».
Эти собаки настолько общительны, что после возвращения хозяина в течение нескольких минут постараются «рассказать», что происходило в его отсутствие. Лай аляскинских кли-каев очень похож на речевые звуки, своеобразный собачий язык, и это ещё одна отличительная способность породы. Подобную коммуникабельность и дружелюбие четвероногие друзья проявляют и в отношении других домашних питомцев, прекрасно уживаясь с собаками, кошками и прочей живностью. Однако от компании декоративных грызунов и птиц лучше воздержаться.
Представители породы ладят и с детворой, а малышей и вовсе обожают! Аляскинский кли-кай станет великолепной нянькой для ребёнка. Впрочем, следует помнить, что эти собаки не любят грубого отношения от детей постарше. Кли-каи могут слабо оскалиться в ответ на щипки или пинки (хотя их прародители хаски терпят подобные шалости). Впрочем, этих инцидентов можно легко избежать, если объяснить детям, как правильно вести себя с питомцем. Нельзя забывать, что собака – не игрушка, а живое существо.
Аляскинские кли-каи очень преданы хозяину и стремятся разными способами проявить свою любовь. Важно помнить, что это чувство должно быть взаимным, иначе ваше равнодушие негативно отразится на характере собаки и её дальнейшем поведении. Животное будет ходить следом, требовать внимания, скулить и пытаться «пожаловаться» вам на свою нелёгкую собачью жизнь.
В отличие от хаски, которые не боятся незнакомцев и всегда приветствуют гостей, аляскинские кли-каи проявляют осторожность в отношении посторонних людей в доме и стараются держаться подальше, оставаясь начеку. Однако при виде расслабленного и позитивно настроенного к чужаку хозяина настороженность животного сменяется доверительно-дружелюбным отношением.
Хотя кли-каи и обзавелись умением находить общий язык с незнакомцами, это не отразилось на их охранных качествах. Маленькие размеры не позволят собакам дать достойный отпор непрошеным гостям, но поднять шум и привлечь внимание им не составит труда.
Если вы проживаете в частном доме и планируете выпускать питомца побегать по двору, учитывайте тот факт, что аляскинские кли-каи любят покопаться в земле и могут очень легко прорыть ход под забором, что чревато побегом и потерей друга. Повинуясь частично сохранившимся инстинктам, собаки могут разрывать норы грызунов. Имейте это в виду и не забывайте учитывать, что мыши и крысы – разносчики инфекции, которые вместе с укусом за нос могут «наградить» любопытного охотника и поводом для визита к ветеринару.
Аляскинские кли-каи нуждаются в социализации уже с первых дней жизни в новом доме. Эта порода не из пугливых, поэтому при отсутствии должного воспитания собака отличается склонностью проявлять агрессию и отстаивать свою территорию.
Лучший способ усвоить правила поведения в обществе – игра. Ставьте перед пушистым малышом задачи, хвалите за их успешное выполнение или, наоборот, давайте питомцу понять, что результат вам не нравится. Главное – не заигрываться: это чревато потерей авторитета в глазах животного, а вернуть звание вожака будет довольно сложно.
Пытливый ум аляскинского кли-кая облегчает процесс дрессировки в той же мере, в которой и затрудняет. Собака умна и независима одновременно: с радостью выучит новую команду, но захочет ли её выполнить – это уже риторический вопрос. Не стоит выдавать желаемое за действительное и ждать, что кли-кай беспрекословно сделает всё, о чём вы его попросите: принесёт тапочки или газету, залает три раза или трагично «умрёт» получше любого актёра Голливуда. Хаски всё же наделили своих «потомков» внушительной долей упрямства, поэтому проявление слабости чревато тем, что аляскинский кли-кай сам примется за вашу дрессировку.
Представители породы нуждаются в знаниях, поэтому не забывайте учить питомца новым командам. Придерживайтесь чёткого порядка, иначе кли-кай ничего не запомнит. Аналогичный результат ждёт и в том случае, если в процессе дрессировки вы проявляете агрессию. Строгого взгляда и нахмуренных бровей достаточно: кли-кай без труда распознает ваше недовольство. Крик и попытки поднять на питомца руку не ускорят усвоение команды и лишь настроят собаку против вас.
Рекомендуется чередовать дрессировку со спортивными мероприятиями. Самыми популярными вариантами до сих пор остаются погоня за фрисби, полоса препятствий и пробежка рядом с велосипедистом (байкджоринг). Не менее полезным признают и фристайл – повторение команд в такт задорной музыке.
Приучение аляскинского кли-кая к поводку – ещё один важный момент в дрессировке. Стоит научить собаку отзываться на собственную кличку, иначе спускать питомца с привязи категорически запрещено! Представители породы слывут мастерами побега, поэтому не стоит прятать поводок в ящик, если вы не хотите лишиться любимца.";3;4;4;4;4;2;5;4;1;Маленькая
